t,u
-0.286,-0.010717
-0.285875,-0.010717
-0.28575,-0.010717
-0.285625,-0.010717
-0.2855,-0.00706855
-0.285375,-0.00706855
-0.28525,-0.010717
-0.285125,-0.010717
-0.285,-0.010717
-0.284875,-0.010717
-0.28475,-0.010717
-0.284625,-0.00706855
-0.2845,-0.010717
-0.284375,-0.010717
-0.28425,-0.00706855
-0.284125,-0.00706855
-0.284,-0.00706855
-0.283875,-0.00706855
-0.28375,-0.010717
-0.283625,-0.00706855
-0.2835,-0.00706855
-0.283375,-0.010717
-0.28325,-0.00706855
-0.283125,-0.00706855
-0.283,-0.00706855
-0.282875,-0.00706855
-0.28275,-0.010717
-0.282625,-0.00706855
-0.2825,-0.010717
-0.282375,-0.010717
-0.28225,-0.010717
-0.282125,-0.010717
-0.282,-0.010717
-0.281875,-0.010717
-0.28175,-0.00706855
-0.281625,-0.010717
-0.2815,-0.00706855
-0.281375,-0.010717
-0.28125,-0.010717
-0.281125,-0.010717
-0.281,-0.010717
-0.280875,-0.010717
-0.28075,-0.010717
-0.280625,-0.010717
-0.2805,-0.010717
-0.280375,-0.010717
-0.28025,-0.010717
-0.280125,-0.010717
-0.28,-0.010717
-0.279875,-0.010717
-0.27975,-0.010717
-0.279625,-0.010717
-0.2795,-0.010717
-0.279375,-0.010717
-0.27925,-0.010717
-0.279125,-0.010717
-0.279,-0.010717
-0.278875,-0.00706855
-0.27875,-0.00706855
-0.278625,-0.010717
-0.2785,-0.010717
-0.278375,-0.00706855
-0.27825,-0.010717
-0.278125,-0.010717
-0.278,-0.010717
-0.277875,-0.00706855
-0.27775,-0.00706855
-0.277625,-0.010717
-0.2775,-0.00706855
-0.277375,-0.010717
-0.27725,-0.00706855
-0.277125,-0.010717
-0.277,-0.010717
-0.276875,-0.010717
-0.27675,-0.00706855
-0.276625,-0.00706855
-0.2765,-0.010717
-0.276375,-0.010717
-0.27625,-0.010717
-0.276125,-0.010717
-0.276,-0.010717
-0.275875,-0.010717
-0.27575,-0.010717
-0.275625,-0.010717
-0.2755,-0.010717
-0.275375,-0.010717
-0.27525,-0.010717
-0.275125,-0.010717
-0.275,-0.010717
-0.274875,-0.010717
-0.27475,-0.010717
-0.274625,-0.010717
-0.2745,-0.010717
-0.274375,-0.010717
-0.27425,-0.010717
-0.274125,-0.00706855
-0.274,-0.010717
-0.273875,-0.010717
-0.27375,-0.00706855
-0.273625,-0.00706855
-0.2735,-0.010717
-0.273375,-0.010717
-0.27325,-0.010717
-0.273125,-0.010717
-0.273,-0.010717
-0.272875,-0.010717
-0.27275,-0.010717
-0.272625,-0.010717
-0.2725,-0.010717
-0.272375,-0.010717
-0.27225,-0.010717
-0.272125,-0.00706855
-0.272,-0.010717
-0.271875,-0.010717
-0.27175,-0.00706855
-0.271625,-0.00706855
-0.2715,-0.010717
-0.271375,-0.010717
-0.27125,-0.010717
-0.271125,-0.00706855
-0.271,-0.010717
-0.270875,-0.00706855
-0.27075,-0.00706855
-0.270625,-0.00706855
-0.2705,-0.00706855
-0.270375,-0.00706855
-0.27025,-0.00706855
-0.270125,-0.010717
-0.27,-0.010717
-0.269875,-0.010717
-0.26975,-0.010717
-0.269625,-0.00706855
-0.2695,-0.010717
-0.269375,-0.010717
-0.26925,-0.010717
-0.269125,-0.010717
-0.269,-0.010717
-0.268875,-0.010717
-0.26875,-0.010717
-0.268625,-0.010717
-0.2685,-0.010717
-0.268375,-0.010717
-0.26825,-0.00706855
-0.268125,-0.00706855
-0.268,-0.010717
-0.267875,-0.010717
-0.26775,-0.010717
-0.267625,-0.010717
-0.2675,-0.010717
-0.267375,-0.010717
-0.26725,-0.010717
-0.267125,-0.010717
-0.267,-0.00706855
-0.266875,-0.010717
-0.26675,-0.00706855
-0.266625,-0.00706855
-0.2665,-0.010717
-0.266375,-0.010717
-0.26625,-0.010717
-0.266125,-0.010717
-0.266,-0.010717
-0.265875,-0.010717
-0.26575,-0.010717
-0.265625,-0.00706855
-0.2655,-0.010717
-0.265375,-0.00706855
-0.26525,-0.010717
-0.265125,-0.010717
-0.265,-0.010717
-0.264875,-0.010717
-0.26475,-0.010717
-0.264625,-0.010717
-0.2645,-0.00706855
-0.264375,-0.00706855
-0.26425,-0.010717
-0.264125,-0.010717
-0.264,-0.010717
-0.263875,-0.010717
-0.26375,-0.010717
-0.263625,-0.010717
-0.2635,-0.010717
