time,trig,echo
0.00146338,-0.0204544,4.80686
0.0014659,-0.0204544,4.80686
0.00146842,-0.0130959,4.80686
0.00147094,-0.0278129,4.81058
0.00147346,-0.0204544,4.80314
0.00147598,-0.0241336,4.80314
0.0014785,-0.0167751,4.81058
0.00148102,-0.0241336,4.81058
0.00148354,-0.0204544,4.80686
0.00148606,-0.0241336,4.80314
0.00148858,-0.0204544,4.8143
0.0014911,-0.0241336,4.80686
0.00149362,-0.0204544,4.80314
0.00149614,-0.0167751,4.80686
0.00149866,-0.0241336,4.81058
0.00150118,-0.0167751,4.81058
0.0015037,-0.0167751,4.80686
0.00150622,-0.0278129,4.81058
0.00150874,-0.0204544,4.81058
0.00151126,-0.0130959,4.79942
0.00151378,-0.0167751,4.80686
0.0015163,-0.0278129,4.80314
0.00151882,-0.0204544,4.81058
0.00152134,-0.0204544,4.80314
0.00152386,-0.0204544,4.81058
0.00152638,-0.0204544,4.8143
0.0015289,-0.0204544,4.80314
0.00153142,-0.0204544,4.81058
0.00153394,-0.0130959,4.80686
0.00153646,-0.0241336,4.80686
0.00153898,-0.0130959,4.80314
0.0015415,-0.0204544,4.80314
0.00154402,-0.0167751,4.80686
0.00154654,-0.0204544,4.80686
0.00154906,-0.0204544,4.80686
0.00155158,-0.0167751,4.80686
0.0015541,-0.0241336,4.81058
0.00155662,-0.0204544,4.80686
0.00155914,-0.0241336,4.80314
0.00156166,-0.0167751,4.81058
0.00156418,-0.0167751,4.80686
0.0015667,-0.0167751,4.80686
0.00156922,-0.0204544,4.80686
0.00157174,-0.0130959,4.80686
0.00157426,-0.0204544,4.80686
0.00157678,-0.0278129,4.80686
0.0015793,-0.0204544,4.80314
0.00158182,-0.0204544,4.81058
0.00158434,-0.0167751,4.81058
0.00158686,-0.0204544,4.80686
0.00158938,-0.0204544,4.81058
0.0015919,-0.0241336,4.80314
0.00159442,-0.0204544,4.80686
0.00159694,-0.0204544,4.8143
0.00159946,-0.0241336,4.80686
0.00160198,-0.0167751,4.8143
0.0016045,-0.0241336,4.81058
0.00160702,-0.0167751,4.80686
0.00160954,-0.0241336,4.80314
0.00161206,-0.0204544,4.80686
0.00161458,-0.0241336,4.80686
0.0016171,-0.0167751,4.80686
0.00161962,-0.0241336,4.80686
0.00162214,-0.0241336,4.80686
0.00162466,-0.0204544,4.80314
0.00162718,-0.0241336,4.81058
0.0016297,-0.0241336,4.80686
0.00163222,-0.0241336,4.80686
0.00163474,-0.0241336,4.80686
0.00163726,-0.0241336,4.81058
0.00163978,-0.0204544,4.80686
0.0016423,-0.0278129,4.80686
0.00164482,-0.0204544,4.80686
0.00164734,-0.0167751,4.81058
0.00164986,-0.0204544,4.80314
0.00165238,-0.0204544,4.81058
0.0016549,-0.0204544,4.81058
0.00165742,-0.0278129,4.81058
0.00165994,-0.0204544,4.80314
0.00166246,-0.0241336,4.80686
0.00166498,-0.0241336,4.81058
0.0016675,-0.0167751,4.81058
0.00167002,-0.0130959,4.81058
0.00167254,-0.0167751,4.8143
0.00167506,-0.0204544,4.80686
0.00167758,-0.0204544,4.81058
0.0016801,-0.0204544,4.8143
