time,echo,trig
5.476e-05,-0.0045224,-0.00525906
5.624e-05,-0.00485737,-0.00610314
5.772e-05,-0.0045224,-0.00593601
5.92e-05,-0.00434865,-0.00644584
6.068e-05,-0.00485737,-0.00729415
6.216e-05,-0.00451404,-0.00695145
6.364e-05,-0.0045224,-0.0076284
6.512e-05,-0.00502276,-0.0076284
6.66e-05,-0.00485737,-0.00796688
6.808e-05,-0.00418325,-0.00796688
6.956e-05,-0.00451822,-0.00813401
7.104e-05,-0.00418325,-0.00796688
7.252e-05,-0.00502694,-0.00796688
7.4e-05,-0.00434865,-0.00728992
7.548e-05,-0.00469197,-0.0071228
7.696e-05,-0.00418325,-0.00644162
7.844e-05,-0.00502276,-0.00678432
7.992e-05,-0.00468779,-0.00627449
8.14e-05,-0.00469197,-0.00695145
8.288e-05,-0.00468362,-0.00695145
8.436e-05,-0.0045224,-0.00661297
8.584e-05,-0.00451404,-0.00661297
8.732e-05,-0.00401786,-0.00695145
8.88e-05,-0.00384829,-0.0076284
9.028e-05,-0.00435283,-0.00745705
9.176e-05,-0.00451822,-0.00661297
9.324e-05,-0.0045224,-0.0071228
9.472e-05,-0.00468779,-0.00746127
9.62e-05,-0.00485737,-0.0076284
9.768e-05,-0.00451404,-0.00711857
9.916e-05,-0.00502276,-0.0071228
0.00010064,-0.00435283,-0.00745705
0.00010212,-0.00435283,-0.00711857
0.0001036,-0.00434865,-0.00644584
0.00010508,-0.00468779,-0.00644162
0.00010656,-0.00434865,-0.00644584
0.00010804,-0.00468779,-0.00644162
0.00010952,-0.00451822,-0.00661297
0.000111,-0.00468362,-0.00660875
0.00011248,-0.00451822,-0.00695145
0.00011396,-0.00485737,-0.00678432
0.00011544,-0.00451822,-0.00644584
0.00011692,-0.00468779,-0.00627871
0.0001184,-0.00485319,-0.00711857
0.00011988,-0.00468779,-0.0067801
0.00012136,-0.00451822,-0.00678432
0.00012284,-0.00485319,-0.0067801
0.00012432,-0.00468779,-0.00711857
0.0001258,-0.00434865,-0.00695145
0.00012728,-0.00384829,-0.0067801
0.00012876,-0.00419161,-0.00729415
0.00013024,-0.00451822,-0.0071228
0.00013172,-0.00502694,-0.0067801
0.0001332,-0.00417908,-0.00678432
0.00013468,-0.00434865,-0.00728992
0.00013616,-0.00368289,-0.0067801
0.00013764,-0.00502276,-0.00661297
0.00013912,-0.00418325,-0.00711857
0.0001406,-0.00435283,-0.00678432
0.00014208,-0.00401786,-0.00711857
0.00014356,-0.00435701,-0.00728992
0.00014504,-0.00468779,-0.0071228
0.00014652,-0.00435283,-0.0071228
0.000148,-0.00451822,-0.00644162
0.00014948,-0.00418325,-0.00661297
0.00015096,-0.00451822,-0.00711857
0.00015244,-0.00418743,-0.00711857
0.00015392,-0.00434865,-0.00695145
0.0001554,-0.00435283,-0.00644584
0.00015688,-0.00434447,-0.00711857
0.00015836,-0.00469197,-0.0071228
0.00015984,-0.00434447,-0.0067801
0.00016132,-0.00468779,-0.00695145
0.0001628,-0.00468779,-0.00711857
0.00016428,-0.00469197,-0.00695145
0.00016576,-0.00385247,-0.0067801
0.00016724,-0.0045224,-0.0071228
0.00016872,-0.00434865,-0.00695145
0.0001702,-0.0045224,-0.0071228
0.00017168,-0.00401786,-0.00728992
0.00017316,-0.00418743,-0.00695145
0.00017464,-0.00435283,-0.00711857
0.00017612,-0.00435701,-0.0072857
0.0001776,-0.00401368,-0.00762418
0.00017908,-0.00452658,-0.00695145
0.00018056,-0.00418325,-0.00695145
0.00018204,-0.00402204,-0.00695145
0.00018352,-0.00418325,-0.00678432
0.000185,-0.00435701,-0.0071228
0.00018648,-0.00418325,-0.00695145
0.00018796,-0.00419161,-0.0071228
0.00018944,-0.00401786,-0.00661297
0.00019092,-0.00502694,-0.0067801
0.0001924,-0.00401368,-0.00695145
0.00019388,-0.00452658,-0.00695145
0.00019536,-0.00451822,-0.0071228
0.00019684,-0.00469197,-0.0067801
0.00019832,-0.00435283,-0.00695145
0.0001998,-0.0045224,-0.00711857
0.00020128,-0.00502276,-0.00644584
0.00020276,-0.00401786,-0.0071228
0.00020424,-0.0045224,-0.00695145
0.00020572,-0.00435701,-0.00745705
0.0002072,-0.00468362,-0.00678432
0.00020868,-0.0045224,-0.00627449
0.00021016,-0.00485319,-0.0071228
0.00021164,-0.00418325,-0.00729415
0.00021312,-0.00401368,-0.00728992
0.0002146,-0.00435701,-0.0071228
0.00021608,-0.00384829,-0.0067801
0.00021756,-0.00485737,-0.00695145
0.00021904,-0.00435283,-0.00779553
0.00022052,-0.00435283,-0.00695567
0.000222,-0.00418325,-0.00678432
0.00022348,-0.00435701,-0.00728992
0.00022496,-0.00418325,-0.00695145
0.00022644,-0.00485319,-0.00695145
0.00022792,-0.00451822,-0.00728992
0.0002294,-0.00435283,-0.00728992
0.00023088,-0.00451822,-0.00745705
0.00023236,-0.0045224,-0.00728992
